"HOLDER","USER","NAME","TITLE","EXPNO","SOLVENT","EXPERIMENT","PARAMETERS","DISK"
107,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01189_R1C7\n","71","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01189,usera3,FIBr05,usera4,fib212","D:\IVDrData\data"
107,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01189_R1C7\n","72","Urine_3mm","WATER_ADJ","usera2,FIB01189,usera3,FIBr05,usera4,fib212","D:\IVDrData\data"
108,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01190_R1C8\n","80","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01190,usera3,FIBr05,usera4,fib220","D:\IVDrData\data"
108,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01190_R1C8\n","81","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01190,usera3,FIBr05,usera4,fib220","D:\IVDrData\data"
108,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01190_R1C8\n","82","Urine_3mm","WATER_ADJ","usera2,FIB01190,usera3,FIBr05,usera4,fib220","D:\IVDrData\data"
109,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01191_R1C9\n","90","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01191,usera3,FIBr05,usera4,fib256","D:\IVDrData\data"
109,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01191_R1C9\n","91","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01191,usera3,FIBr05,usera4,fib256","D:\IVDrData\data"
109,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01191_R1C9\n","92","Urine_3mm","WATER_ADJ","usera2,FIB01191,usera3,FIBr05,usera4,fib256","D:\IVDrData\data"
110,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01192_R1C10\n","100","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01192,usera3,FIBr05,usera4,fib274","D:\IVDrData\data"
110,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01192_R1C10\n","101","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01192,usera3,FIBr05,usera4,fib274","D:\IVDrData\data"
110,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01192_R1C10\n","102","Urine_3mm","WATER_ADJ","usera2,FIB01192,usera3,FIBr05,usera4,fib274","D:\IVDrData\data"
113,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01193_R2C1\n","110","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01193,usera3,FIBr05,usera4,fib284","D:\IVDrData\data"
113,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01193_R2C1\n","111","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01193,usera3,FIBr05,usera4,fib284","D:\IVDrData\data"
113,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01193_R2C1\n","112","Urine_3mm","WATER_ADJ","usera2,FIB01193,usera3,FIBr05,usera4,fib284","D:\IVDrData\data"
114,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01195_R2C2\n","120","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01195,usera3,FIBr05,usera4,fib284","D:\IVDrData\data"
114,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01195_R2C2\n","121","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01195,usera3,FIBr05,usera4,fib284","D:\IVDrData\data"
114,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01195_R2C2\n","122","Urine_3mm","WATER_ADJ","usera2,FIB01195,usera3,FIBr05,usera4,fib284","D:\IVDrData\data"
115,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01196_R2C3\n","130","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01196,usera3,FIBr05,usera4,fib297","D:\IVDrData\data"
115,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01196_R2C3\n","131","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01196,usera3,FIBr05,usera4,fib297","D:\IVDrData\data"
115,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01196_R2C3\n","132","Urine_3mm","WATER_ADJ","usera2,FIB01196,usera3,FIBr05,usera4,fib297","D:\IVDrData\data"
116,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01197_R2C4\n","140","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01197,usera3,FIBr05,usera4,fib329","D:\IVDrData\data"
116,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01197_R2C4\n","141","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01197,usera3,FIBr05,usera4,fib329","D:\IVDrData\data"
116,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01197_R2C4\n","142","Urine_3mm","WATER_ADJ","usera2,FIB01197,usera3,FIBr05,usera4,fib329","D:\IVDrData\data"
117,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01198_R2C5\n","150","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01198,usera3,FIBr05,usera4,fib380","D:\IVDrData\data"
117,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01198_R2C5\n","151","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01198,usera3,FIBr05,usera4,fib380","D:\IVDrData\data"
117,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01198_R2C5\n","152","Urine_3mm","WATER_ADJ","usera2,FIB01198,usera3,FIBr05,usera4,fib380","D:\IVDrData\data"
118,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01199_R2C6\n","160","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01199,usera3,FIBr05,usera4,fib420","D:\IVDrData\data"
118,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01199_R2C6\n","161","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01199,usera3,FIBr05,usera4,fib420","D:\IVDrData\data"
118,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01199_R2C6\n","162","Urine_3mm","WATER_ADJ","usera2,FIB01199,usera3,FIBr05,usera4,fib420","D:\IVDrData\data"
119,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01200_R2C7\n","170","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01200,usera3,FIBr05,usera4,fib426","D:\IVDrData\data"
119,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01200_R2C7\n","171","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01200,usera3,FIBr05,usera4,fib426","D:\IVDrData\data"
119,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01200_R2C7\n","172","Urine_3mm","WATER_ADJ","usera2,FIB01200,usera3,FIBr05,usera4,fib426","D:\IVDrData\data"
120,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01201_R2C8\n","180","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01201,usera3,FIBr05,usera4,fib439","D:\IVDrData\data"
120,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01201_R2C8\n","181","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01201,usera3,FIBr05,usera4,fib439","D:\IVDrData\data"
120,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01201_R2C8\n","182","Urine_3mm","WATER_ADJ","usera2,FIB01201,usera3,FIBr05,usera4,fib439","D:\IVDrData\data"
121,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01202_R2C9\n","190","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01202,usera3,FIBr05,usera4,fib439","D:\IVDrData\data"
121,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01202_R2C9\n","191","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01202,usera3,FIBr05,usera4,fib439","D:\IVDrData\data"
121,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01202_R2C9\n","192","Urine_3mm","WATER_ADJ","usera2,FIB01202,usera3,FIBr05,usera4,fib439","D:\IVDrData\data"
122,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01203_R2C10\n","200","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01203,usera3,FIBr05,usera4,fib455","D:\IVDrData\data"
122,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01203_R2C10\n","201","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01203,usera3,FIBr05,usera4,fib455","D:\IVDrData\data"
122,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01203_R2C10\n","202","Urine_3mm","WATER_ADJ","usera2,FIB01203,usera3,FIBr05,usera4,fib455","D:\IVDrData\data"
124,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_LTR_R2C12\n","210","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,LTR,usera3,FIBr05,usera4,FAE","D:\IVDrData\data"
124,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_LTR_R2C12\n","211","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,LTR,usera3,FIBr05,usera4,FAE","D:\IVDrData\data"
124,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_LTR_R2C12\n","212","Urine_3mm","WATER_ADJ","usera2,LTR,usera3,FIBr05,usera4,FAE","D:\IVDrData\data"
125,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01204_R3C1\n","220","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01204,usera3,FIBr05,usera4,fib479","D:\IVDrData\data"
125,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01204_R3C1\n","221","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01204,usera3,FIBr05,usera4,fib479","D:\IVDrData\data"
125,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01204_R3C1\n","222","Urine_3mm","WATER_ADJ","usera2,FIB01204,usera3,FIBr05,usera4,fib479","D:\IVDrData\data"
126,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01205_R3C2\n","230","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01205,usera3,FIBr05,usera4,fib646","D:\IVDrData\data"
126,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01205_R3C2\n","231","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01205,usera3,FIBr05,usera4,fib646","D:\IVDrData\data"
126,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01205_R3C2\n","232","Urine_3mm","WATER_ADJ","usera2,FIB01205,usera3,FIBr05,usera4,fib646","D:\IVDrData\data"
127,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01206_R3C3\n","240","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01206,usera3,FIBr05,usera4,fib659","D:\IVDrData\data"
127,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01206_R3C3\n","241","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01206,usera3,FIBr05,usera4,fib659","D:\IVDrData\data"
127,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01206_R3C3\n","242","Urine_3mm","WATER_ADJ","usera2,FIB01206,usera3,FIBr05,usera4,fib659","D:\IVDrData\data"
128,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01250_R3C4\n","250","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01250,usera3,FIBr05,usera4,fib634","D:\IVDrData\data"
128,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01250_R3C4\n","251","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01250,usera3,FIBr05,usera4,fib634","D:\IVDrData\data"
128,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01250_R3C4\n","252","Urine_3mm","WATER_ADJ","usera2,FIB01250,usera3,FIBr05,usera4,fib634","D:\IVDrData\data"
129,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01251_R3C5\n","260","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01251,usera3,FIBr05,usera4,fib634","D:\IVDrData\data"
129,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01251_R3C5\n","261","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01251,usera3,FIBr05,usera4,fib634","D:\IVDrData\data"
129,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01251_R3C5\n","262","Urine_3mm","WATER_ADJ","usera2,FIB01251,usera3,FIBr05,usera4,fib634","D:\IVDrData\data"
130,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01252_R3C6\n","270","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01252,usera3,FIBr05,usera4,fib162","D:\IVDrData\data"
130,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01252_R3C6\n","271","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01252,usera3,FIBr05,usera4,fib162","D:\IVDrData\data"
130,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01252_R3C6\n","272","Urine_3mm","WATER_ADJ","usera2,FIB01252,usera3,FIBr05,usera4,fib162","D:\IVDrData\data"
131,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01253_R3C7\n","280","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,FIB01253,usera3,FIBr05,usera4,fib284","D:\IVDrData\data"
131,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01253_R3C7\n","281","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,FIB01253,usera3,FIBr05,usera4,fib284","D:\IVDrData\data"
131,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_FIB01253_R3C7\n","282","Urine_3mm","WATER_ADJ","usera2,FIB01253,usera3,FIBr05,usera4,fib284","D:\IVDrData\data"
148,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_LTR_R4C12\n","290","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,LTR,usera3,FIBr05,usera4,FAE","D:\IVDrData\data"
148,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_LTR_R4C12\n","291","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,LTR,usera3,FIBr05,usera4,FAE","D:\IVDrData\data"
148,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_LTR_R4C12\n","292","Urine_3mm","WATER_ADJ","usera2,LTR,usera3,FIBr05,usera4,FAE","D:\IVDrData\data"
172,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_LTR_R6C12\n","300","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,LTR,usera3,FIBr05,usera4,FAE","D:\IVDrData\data"
172,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_LTR_R6C12\n","301","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,LTR,usera3,FIBr05,usera4,FAE","D:\IVDrData\data"
172,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_LTR_R6C12\n","302","Urine_3mm","WATER_ADJ","usera2,LTR,usera3,FIBr05,usera4,FAE","D:\IVDrData\data"
196,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_LTR_R8C12\n","310","Urine_3mm","PROF_URINE_NOESY128_3mm","usera2,LTR,usera3,FIBr05,usera4,FAE","D:\IVDrData\data"
196,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_LTR_R8C12\n","311","Urine_3mm","PROF_URINE_JRES8_3mm","usera2,LTR,usera3,FIBr05,usera4,FAE","D:\IVDrData\data"
196,"nmrsu","fibers_C1_FAE_NMR-URINE-3MM@fEPP_FIBr05_FIBp045","fibers_NMR-URINE-3MM_FAE_LTR_R8C12\n","312","Urine_3mm","WATER_ADJ","usera2,LTR,usera3,FIBr05,usera4,FAE","D:\IVDrData\data"
